CATEGORIA;ENDPOINT;FUNCAO_JAVA;CONTROLADOR_ORIGEM;DESCRICAO_SUGERIDA
BI / Relatórios;/psec/treino-bi/agenda;agenda;BITreinoController;Realiza a ação 'agenda' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/agendamento-cancelaram;agendamentocancelaram;BITreinoController;Realiza a ação 'agendamentocancelaram' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/agendamento-cancelaram/exportar;agendamentosCancelaramExportar;BITreinoController;Realiza a ação 'agendamentosCancelaramExportar' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/agendamento-executaram;agendamentoexecutaram;BITreinoController;Realiza a ação 'agendamentoexecutaram' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/agendamento-executaram/exportar;agendamentosExecutaramExportar;BITreinoController;Realiza a ação 'agendamentosExecutaramExportar' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/agendamento-faltaram;agendamentofaltaram;BITreinoController;Realiza a ação 'agendamentofaltaram' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/agendamento-faltaram/exportar;agendamentosFaltaramExportar;BITreinoController;Realiza a ação 'agendamentosFaltaramExportar' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/agendamentos;agendamentos;BITreinoController;Realiza a ação 'agendamentos' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/agendamentos/exportar;agendamentosExportar;BITreinoController;Realiza a ação 'agendamentosExportar' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/alunos-acessos;alunosacessos;BITreinoController;Realiza a ação 'alunosacessos' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/alunos-ativo-sem-treino/exportar;alunosAtivosSemTreinoExportar;BITreinoController;Realiza a ação 'alunosAtivosSemTreinoExportar' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/alunos-ativo-sem-treino/{codigoPessoa};alunosativosemtreino;BITreinoController;Realiza a ação 'alunosativosemtreino' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/alunos-ativos-treino/exportar;alunosTreinoAtivosExportar;BITreinoController;Realiza a ação 'alunosTreinoAtivosExportar' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/alunos-ativos-treino/{codigoPessoa};alunosativostreino;BITreinoController;Realiza a ação 'alunosativostreino' no módulo de bi / relatórios.
BI / Relatórios;/psec/treino-bi/alunos-ativos/exportar;alunosAtivosTreinoExportar;BITreinoController;Realiza a ação 'alunosAtivosTreinoExportar' no módulo de bi / relatórios.
