ENDPOINT;METODO_JAVA;ASSINATURA_COMPLETA
//health;br.com.pacto.controller.json.base.HealthJSONControle.health(javax.servlet.http.HttpServletResponse);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.HealthJSONControle.health(javax.servlet.http.HttpServletResponse)
//health/{chaves};br.com.pacto.controller.json.base.HealthJSONControle.health(javax.servlet.http.HttpServletResponse,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.HealthJSONControle.health(javax.servlet.http.HttpServletResponse,java.lang.String)
/EndpointControl/empresas;br.com.pacto.controller.json.base.EndpointDocController.empresas();public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.empresas()
/EndpointControl/executarMigracao;br.com.pacto.controller.json.base.EndpointDocController.executarMigracao(java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.executarMigracao(java.lang.String,java.lang.String)
/EndpointControl/obterURLs;br.com.pacto.controller.json.base.EndpointDocController.obterURLs(java.lang.Boolean);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.obterURLs(java.lang.Boolean)
/EndpointControl/show;br.com.pacto.controller.json.base.EndpointDocController.mostrar();public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.mostrar()
/EndpointControl/{ctx}/atualizarProfessorCarteiraProgramaVirgente;br.com.pacto.controller.json.base.EndpointDocController.atualizarProfessorCarteiraProgramaVirgente(java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.atualizarProfessorCarteiraProgramaVirgente(java.lang.String,java.lang.String)
/EndpointControl/{ctx}/audit;br.com.pacto.controller.json.base.EndpointDocController.audit(java.lang.String,java.lang.String,java.lang.String,java.lang.Object);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.audit(java.lang.String,java.lang.String,java.lang.String,java.lang.Object)
/EndpointControl/{ctx}/expirarCreditos;br.com.pacto.controller.json.base.EndpointDocController.expirarCreditos(java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.expirarCreditos(java.lang.String)
/EndpointControl/{ctx}/obterFichasPredefinidas;br.com.pacto.controller.json.base.EndpointDocController.obterFichasPredefinidas(java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.obterFichasPredefinidas(java.lang.String)
/EndpointControl/{ctx}/obterMidiasRemotas;br.com.pacto.controller.json.base.EndpointDocController.obterMidiasRemotas(java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.obterMidiasRemotas(java.lang.String)
/EndpointControl/{ctx}/obterNomeFotos;br.com.pacto.controller.json.base.EndpointDocController.obterNomeFotos(java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.obterNomeFotos(java.lang.String)
/EndpointControl/{ctx}/povoar;br.com.pacto.controller.json.base.EndpointDocController.povoar(java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.povoar(java.lang.String)
/EndpointControl/{ctx}/povoarAndamento;br.com.pacto.controller.json.base.EndpointDocController.povoarAndamento(java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.povoarAndamento(java.lang.String)
/EndpointControl/{ctx}/pushLembrarCompromisso;br.com.pacto.controller.json.base.EndpointDocController.pushLembrarCompromisso(java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.pushLembrarCompromisso(java.lang.String,java.lang.String)
/EndpointControl/{ctx}/pushNovosAgendamentoOuAlterados;br.com.pacto.controller.json.base.EndpointDocController.pushNovosAgendamentoOuAlterados(java.lang.String,java.lang.String,java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.pushNovosAgendamentoOuAlterados(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
/EndpointControl/{ctx}/pushProximosAgendados;br.com.pacto.controller.json.base.EndpointDocController.pushProximosAgendados(java.lang.String,java.lang.String,java.lang.String);public org.springframework.ui.ModelMap br.com.pacto.controller.json.base.EndpointDocController.pushProximosAgendados(java.lang.String,java.lang.String,java.lang.String)
